[INFO] [1778284362.479993632] [remote_control_node]: Parsed point: id='pile1', x=355240.052000000, y=4348685.717000000, z=0.000000000
[INFO] [1778284362.480422848] [remote_control_node]: Parsed point: id='pile2', x=355240.052000000, y=4348688.392000000, z=0.000000000
[INFO] [1778284362.480471328] [remote_control_node]: Parsed point: id='pile3', x=355242.358000000, y=4348685.717000000, z=0.000000000
[INFO] [1778284362.480497184] [remote_control_node]: Parsed point: id='pile4', x=355242.358000000, y=4348688.392000000, z=0.000000000
[INFO] [1778284362.480523776] [remote_control_node]: Parsed point: id='pile5', x=355245.820000000, y=4348685.717000000, z=0.000000000
[INFO] [1778284362.480544000] [remote_control_node]: Parsed point: id='pile6', x=355245.820000000, y=4348688.392000000, z=0.000000000
[INFO] [1778284362.480562240] [remote_control_node]: Parsed point: id='pile7', x=355249.290000000, y=4348685.717000000, z=0.000000000
[INFO] [1778284362.480580256] [remote_control_node]: Parsed point: id='pile8', x=355249.290000000, y=4348688.392000000, z=0.000000000
[INFO] [1778284362.480599200] [remote_control_node]: Parsed point: id='pile9', x=355252.762000000, y=4348685.717000000, z=0.000000000
[INFO] [1778284362.480617536] [remote_control_node]: Parsed point: id='pile10', x=355252.762000000, y=4348688.392000000, z=0.000000000
[INFO] [1778284362.480635712] [remote_control_node]: Parsed point: id='pile11', x=355256.223000000, y=4348685.717000000, z=0.000000000
[INFO] [1778284362.480653344] [remote_control_node]: Parsed point: id='pile12', x=355256.223000000, y=4348688.392000000, z=0.000000000
[INFO] [1778284362.480670880] [remote_control_node]: Parsed point: id='pile13', x=355259.675000000, y=4348685.717000000, z=0.000000000
[INFO] [1778284362.480688320] [remote_control_node]: Parsed point: id='pile14', x=355259.675000000, y=4348688.392000000, z=0.000000000
[INFO] [1778284362.480710016] [remote_control_node]: Parsed point: id='pile15', x=355263.126000000, y=4348685.717000000, z=0.000000000
[INFO] [1778284362.480728832] [remote_control_node]: Parsed point: id='pile16', x=355263.126000000, y=4348688.392000000, z=0.000000000
[INFO] [1778284362.480749568] [remote_control_node]: Parsed point: id='pile17', x=355265.424000000, y=4348685.717000000, z=0.000000000
[INFO] [1778284362.480768064] [remote_control_node]: Parsed point: id='pile18', x=355265.424000000, y=4348688.392000000, z=0.000000000
[INFO] [1778284362.480785504] [remote_control_node]: Parsed point: id='pile19', x=355267.725000000, y=4348685.717000000, z=0.000000000
[INFO] [1778284362.480802720] [remote_control_node]: Parsed point: id='pile20', x=355267.725000000, y=4348688.392000000, z=0.000000000
[INFO] [1778284362.480820320] [remote_control_node]: Parsed point: id='pile21', x=355270.031000000, y=4348685.717000000, z=0.000000000
[INFO] [1778284362.480837728] [remote_control_node]: Parsed point: id='pile22', x=355270.031000000, y=4348688.392000000, z=0.000000000
[INFO] [1778284362.480854944] [remote_control_node]: Parsed point: id='pile23', x=355225.496000000, y=4348678.117000000, z=0.000000000
[INFO] [1778284362.480872224] [remote_control_node]: Parsed point: id='pile24', x=355225.496000000, y=4348680.792000000, z=0.000000000
[INFO] [1778284362.480889376] [remote_control_node]: Parsed point: id='pile25', x=355227.806000000, y=4348678.117000000, z=0.000000000
[INFO] [1778284362.480909280] [remote_control_node]: Parsed point: id='pile26', x=355227.806000000, y=4348680.792000000, z=0.000000000
[INFO] [1778284362.480927136] [remote_control_node]: Parsed point: id='pile27', x=355231.271000000, y=4348678.117000000, z=0.000000000
